region,indicator,value,year
ITG,tertiary_pct,17.3,2025
CH07,tertiary_pct,42.6,2025
CY0,tertiary_pct,52.1,2025
PL43,tertiary_pct,31.6,2025
NL21,tertiary_pct,41.9,2025
NL11,tertiary_pct,45.0,2025
NL13,tertiary_pct,36.3,2025
DE6,tertiary_pct,43.0,2025
NL12,tertiary_pct,38.6,2025
EE00,tertiary_pct,42.1,2025
SI03,tertiary_pct,31.0,2025
ITC,tertiary_pct,22.9,2025
PL52,tertiary_pct,34.2,2025
SE33,tertiary_pct,48.3,2025
EL30,tertiary_pct,44.6,2025
DEF,tertiary_pct,31.8,2025
DEG,tertiary_pct,30.4,2025
EL51,tertiary_pct,28.0,2025
EL43,tertiary_pct,28.5,2025
SE32,tertiary_pct,41.8,2025
EL41,tertiary_pct,21.3,2025
EL42,tertiary_pct,22.5,2025
IE06,tertiary_pct,63.0,2025
IE05,tertiary_pct,54.8,2025
PL61,tertiary_pct,31.9,2025
EL61,tertiary_pct,31.4,2025
IE04,tertiary_pct,53.2,2025
SE31,tertiary_pct,41.4,2025
EL54,tertiary_pct,35.4,2025
EL52,tertiary_pct,36.4,2025
EL53,tertiary_pct,28.3,2025
ES11,tertiary_pct,43.4,2025
EL65,tertiary_pct,25.8,2025
CH04,tertiary_pct,56.6,2025
CH06,tertiary_pct,46.4,2025
CH03,tertiary_pct,45.7,2025
CH02,tertiary_pct,41.3,2025
CH05,tertiary_pct,40.8,2025
DE2,tertiary_pct,38.6,2025
CH01,tertiary_pct,46.4,2025
DE1,tertiary_pct,38.8,2025
SK04,tertiary_pct,26.7,2025
EL63,tertiary_pct,21.7,2025
SE23,tertiary_pct,50.5,2025
SE22,tertiary_pct,52.2,2025
EL62,tertiary_pct,21.6,2025
EL64,tertiary_pct,24.7,2025
PL63,tertiary_pct,43.6,2025
HU33,tertiary_pct,24.8,2025
HU31,tertiary_pct,21.1,2025
HU32,tertiary_pct,23.4,2025
HU23,tertiary_pct,21.6,2025
PL62,tertiary_pct,31.4,2025
ES21,tertiary_pct,58.2,2025
ES13,tertiary_pct,47.8,2025
ES12,tertiary_pct,46.6,2025
SE21,tertiary_pct,43.6,2025
ES30,tertiary_pct,50.0,2025
SE12,tertiary_pct,46.6,2025
ES24,tertiary_pct,41.0,2025
ES22,tertiary_pct,50.8,2025
ES23,tertiary_pct,41.4,2025
HU21,tertiary_pct,23.1,2025
HU22,tertiary_pct,26.0,2025
HU12,tertiary_pct,34.1,2025
PL71,tertiary_pct,37.7,2025
NL23,tertiary_pct,41.9,2025
NL22,tertiary_pct,44.1,2025
BG42,tertiary_pct,29.3,2025
BG34,tertiary_pct,30.9,2025
BG41,tertiary_pct,44.5,2025
BG33,tertiary_pct,39.0,2025
BG32,tertiary_pct,31.2,2025
ES51,tertiary_pct,46.9,2025
HU11,tertiary_pct,59.3,2025
HR06,tertiary_pct,22.4,2025
SE11,tertiary_pct,60.0,2025
ES52,tertiary_pct,38.1,2025
ES41,tertiary_pct,42.1,2025
ES43,tertiary_pct,34.5,2025
ES42,tertiary_pct,33.3,2025
ES62,tertiary_pct,35.2,2025
RS22,tertiary_pct,23.3,2025
ES53,tertiary_pct,35.2,2025
RS21,tertiary_pct,21.7,2025
ES61,tertiary_pct,36.7,2025
HR05,tertiary_pct,51.7,2025
PL72,tertiary_pct,37.0,2025
HR03,tertiary_pct,31.1,2025
HR02,tertiary_pct,20.5,2025
FRM0,tertiary_pct,31.7,2025
RS11,tertiary_pct,46.0,2025
FI19,tertiary_pct,41.5,2025
ES63,tertiary_pct,33.5,2025
ES64,tertiary_pct,30.0,2025
RS12,tertiary_pct,25.4,2025
FRB0,tertiary_pct,41.4,2025
FR10,tertiary_pct,58.6,2025
BE33,tertiary_pct,41.8,2025
BE35,tertiary_pct,45.2,2025
BE34,tertiary_pct,43.6,2025
BE32,tertiary_pct,37.3,2025
PL41,tertiary_pct,34.7,2025
NL34,tertiary_pct,34.1,2025
NL32,tertiary_pct,52.2,2025
PL42,tertiary_pct,38.5,2025
FI20,tertiary_pct,32.9,2025
FI1D,tertiary_pct,39.2,2025
FI1B,tertiary_pct,48.1,2025
FRL0,tertiary_pct,42.5,2025
PL81,tertiary_pct,37.4,2025
FI1C,tertiary_pct,39.0,2025
FRJ2,tertiary_pct,47.9,2025
FRK2,tertiary_pct,49.4,2025
FRK1,tertiary_pct,40.4,2025
PT15,tertiary_pct,28.8,2025
FRD1,tertiary_pct,39.4,2025
FRD2,tertiary_pct,38.4,2025
FRC2,tertiary_pct,37.8,2025
FRC1,tertiary_pct,36.1,2025
PT11,tertiary_pct,29.8,2025
FRE2,tertiary_pct,35.5,2025
FRF2,tertiary_pct,33.8,2025
FRJ1,tertiary_pct,42.6,2025
FRE1,tertiary_pct,41.0,2025
FRF1,tertiary_pct,41.0,2025
PL84,tertiary_pct,37.4,2025
PL82,tertiary_pct,34.2,2025
FRI3,tertiary_pct,40.6,2025
FRI2,tertiary_pct,41.4,2025
BE25,tertiary_pct,42.7,2025
NL41,tertiary_pct,43.9,2025
NO02,tertiary_pct,39.7,2025
BE24,tertiary_pct,56.7,2025
BE31,tertiary_pct,65.6,2025
BE21,tertiary_pct,47.3,2025
BE23,tertiary_pct,48.8,2025
BG31,tertiary_pct,27.7,2025
BE22,tertiary_pct,41.5,2025
PL92,tertiary_pct,31.8,2025
FRG0,tertiary_pct,42.2,2025
PL91,tertiary_pct,65.3,2025
FRI1,tertiary_pct,44.0,2025
FRH0,tertiary_pct,42.9,2025
AT11,tertiary_pct,34.2,2025
PL21,tertiary_pct,41.2,2025
FRF3,tertiary_pct,35.9,2025
AT31,tertiary_pct,34.7,2025
UKN,median_age,38.6,2018
UKL,median_age,42.5,2019
UKC,median_age,41.9,2019
UKH,median_age,41.7,2019
UKD,median_age,40.4,2019
UKI,median_age,35.4,2019
UKE,median_age,40.1,2019
UKG,median_age,39.6,2019
UKJ,median_age,41.7,2019
UKF,median_age,41.4,2019
UKM,median_age,42.0,2019
UKK,median_age,43.9,2019
PT16,median_age,49.3,2023
NL31,median_age,39.9,2023
PT17,median_age,44.8,2023
PT18,median_age,48.7,2023
NL33,median_age,40.9,2023
BE23,median_age,42.9,2025
NO07,median_age,42.8,2025
PL62,median_age,44.1,2025
NO09,median_age,42.8,2025
NO08,median_age,39.6,2025
AT34,median_age,42.7,2025
BE10,median_age,36.1,2025
BE22,median_age,45.1,2025
BE21,median_age,42.0,2025
NL42,median_age,47.9,2025
PL71,median_age,45.1,2025
NO06,median_age,40.1,2025
NO02,median_age,45.9,2025
PL82,median_age,43.2,2025
NL34,median_age,47.2,2025
PL63,median_age,41.8,2025
NL41,median_age,43.6,2025
ES13,median_age,48.9,2025
EL54,median_age,49.3,2025
EL61,median_age,48.7,2025
EL63,median_age,47.5,2025
ES11,median_age,50.0,2025
EL65,median_age,49.9,2025
ES12,median_age,51.6,2025
SI03,median_age,46.3,2025
PL42,median_age,44.8,2025
PL52,median_age,45.4,2025
PL43,median_age,44.1,2025
SK01,median_age,42.9,2025
PL22,median_age,44.9,2025
PL61,median_age,44.1,2025
PL41,median_age,42.2,2025
DE1,median_age,44.2,2025
DE3,median_age,41.2,2025
