group,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,group_order,cntry,variable,var_label
45-59,220,0.6147176330327443,0.9877922857268212,1.2920776485558767,-0.10573799184276156,-0.6656171731774735,-0.010158086727140624,-1.3219458779596283,-1.1306304089403478,0.18552121460164125,-0.33982558774069604,0.15347108663122985,1.139934967141349,-0.2605044172491252,-1.2262881434499882,2,IS,age,Age group
60-74,193,0.7799412894467518,0.9692506050642938,1.3110144894698443,-0.01234344862302635,-0.4308632339254179,0.18159779915415403,-1.4787105233031472,-1.355933117196202,0.144609332125034,-0.6021217075951754,0.10747630465887012,1.1401325472670691,-0.09282379159059584,-1.4173218202496745,3,IS,age,Age group
75+,85,0.3541217144526895,0.8121756867266282,1.1129338250576648,0.12797471241606265,-0.04025271687901207,0.35151184232281274,-1.3540283516821365,-1.152041317712473,0.09022633350278282,-0.7536925253395118,-0.1031148257946799,0.9625547558921465,0.15082842349687803,-1.2530348346973048,4,IS,age,Age group
City & suburbs,328,0.4718174252667995,0.8586224487478453,1.2196610875567138,-0.26254868978094265,-0.726640537348531,-0.06299327058706249,-1.209834296157937,-0.6963265639245165,0.28515350608299883,-0.3157638810455801,0.1470690167680727,1.0391417681522797,-0.3507274992388454,-0.9530804300412267,0,IS,domicil,Urbanisation
Town,377,0.4960075821137697,0.8098072038823686,1.1697546420706453,-0.34469982954266565,-0.6514834874348499,0.1172281494775714,-1.0891732386429238,-0.711301524063531,0.3012775554714215,-0.5022450959918344,0.09834668053111889,0.9897809229765069,-0.2939706084898473,-0.9002373813532275,1,IS,domicil,Urbanisation
Village / rural,120,0.5170635483027607,0.7979703028254196,1.1352521293307982,-0.20478303083397512,-0.4846000745289503,0.004870952706639389,-1.106414864056791,-0.9072032579629332,0.07871339418717767,-0.24472937579801668,0.1170158555639739,0.9666112160781088,-0.22659259283252695,-1.0068090610098621,2,IS,domicil,Urbanisation
Low (<12 yrs),110,0.513323879805235,0.5628756299627524,1.1195482118371554,-0.342067263849341,-0.610529736753657,-0.01704429974011546,-1.0514121287533238,-0.5167508402296045,0.22908284787648206,-0.1829435256479884,0.18648773401124288,0.8412119208999538,-0.3209450513438362,-0.784081484491464,0,IS,education,Education
Medium (12-15 yrs),237,0.44409749931169706,0.7330870606330266,1.1539307600230964,-0.21870410243807412,-0.6741359334382165,0.17582825161851934,-1.0910596155526995,-0.7463346625398974,0.2185929497693703,-0.3676258806264184,0.09835485615154962,0.9435089103280614,-0.2402834980357526,-0.9186971390462983,1,IS,education,Education
High (16+ yrs),460,0.5051195715135934,0.9580966233542505,1.2483586887200353,-0.3281228500146454,-0.652439294775862,-0.06330985925537211,-1.203726935692999,-0.7795489393820254,0.2949592804775263,-0.4631329608816932,0.11231529703647551,1.103227656037143,-0.34795733468195983,-0.9916379375375122,2,IS,education,Education
Men,408,0.46087722836389244,0.7721083531874603,1.1297614745961178,-0.2866241483237206,-0.6611592456378029,-0.13419478985547417,-1.010664567146157,-0.7108024026020336,0.3294934267997639,-0.28117097829975113,0.16973322562130175,0.950934913891789,-0.3614321184026789,-0.8607334848740952,0,IS,gender,Gender
